中继架次,点位,中继机,能源组件,经度,纬度,悬停海拔_m,出发_s,建链完成_s,服务结束_s,返航_s,能耗_kWh,SOC,能源充满_s
RS01,西,R01,R-B1,109.20361111111112,23.046388888888888,839.706543,0.0,723.950501,4695.625078,5268.909458,1.500694,0.531033,6378.566578
RS02,东,R02,R-B2,109.27277777777778,23.017777777777777,641.573364,0.0,633.055814,6258.155878,6724.034473,1.96186,0.386919,8021.040221
RS03,北,R01,R-B3,109.24166666666667,23.066666666666666,485.113266,5568.909458,6303.948111,7256.608205,7811.431297,0.6104,0.80925,8559.406482
RS04,西,R02,R-B4,109.20361111111112,23.046388888888888,839.706543,7024.034473,7747.984974,8341.795198,8915.079577,0.468569,0.853572,9605.435827
