K,每组最少服务区,方案,合法分区数,缺口总数,配置总数,工作量CV,任务组,各组工作量_s
2,2,缺口优先_规模约束,59,3,31,0.845583672,S001、S002、S003、S004、S005、S006、S007、S008、S009、S010、S011、S014、S015 / S012、S013,41033.752 / 3433.213
2,2,纯均衡端点_规模约束,59,7,37,0.012202727,S001、S002、S005、S008、S010、S013、S014 / S003、S004、S006、S007、S009、S011、S012、S015,22504.791 / 21962.173
2,3,缺口优先_规模约束,52,4,32,0.775627039,S001、S002、S003、S004、S005、S006、S007、S008、S009、S011、S014、S015 / S010、S012、S013,39478.372 / 4988.592
2,3,纯均衡端点_规模约束,52,7,37,0.012202727,S001、S002、S005、S008、S010、S013、S014 / S003、S004、S006、S007、S009、S011、S012、S015,22504.791 / 21962.173
3,2,缺口优先_规模约束,183,6,36,1.10194318,S001、S002、S003、S004、S005、S006、S007、S008、S011、S014、S015 / S009、S012 / S010、S013,37919.930 / 3481.182 / 3065.852
3,2,纯均衡端点_规模约束,183,17,47,0.222956617,S001、S002、S005、S008、S014 / S003、S006、S007、S013、S015 / S004、S009、S010、S011、S012,19438.939 / 13144.120 / 11883.905
3,3,缺口优先_规模约束,87,11,40,0.647640022,S001、S002、S004、S005、S008、S009、S011、S014 / S003、S006、S007、S015 / S010、S012、S013,27844.724 / 11633.648 / 4988.592
3,3,纯均衡端点_规模约束,87,17,47,0.222956617,S001、S002、S005、S008、S014 / S003、S006、S007、S013、S015 / S004、S009、S010、S011、S012,19438.939 / 13144.120 / 11883.905
