K,分区(单元下标),分区(服务区),缺口总数,配置总数,运输架次占用时长CV,需求_A型运输无人机,需求_B型运输无人机,需求_C型运输无人机,需求_A型共享电池,需求_B型共享电池,需求_C型共享电池,需求_中继无人机,需求_中继能源组件
2,"0,1,2,3,6;4,5",S001、S002、S003、S004、S005、S006、S007、S008、S009、S011、S013、S014、S015 / S010、S012,4,32,0.84356387,4,4,2,6,5,4,3,4
2,"0,1,2,4,5;3,6",S001、S002、S003、S004、S005、S006、S007、S008、S010、S011、S012、S014、S015 / S009、S013,3,32,0.861968808,4,3,2,6,4,4,4,5
2,"0,1,2,4,6;3,5",S001、S002、S003、S004、S005、S006、S007、S008、S010、S011、S013、S014、S015 / S009、S012,3,32,0.843426142,4,3,2,6,4,4,4,5
2,"0,1,2,5,6;3,4",S001、S002、S003、S004、S005、S006、S007、S008、S011、S012、S013、S014、S015 / S009、S010,4,33,0.859949005,4,3,2,6,5,4,4,5
2,"0,1,3,4,5;2,6",S001、S002、S003、S005、S006、S007、S008、S009、S010、S012、S014、S015 / S004、S011、S013,9,38,0.624088774,6,3,3,8,4,5,4,5
2,"0,1,3,4,6;2,5",S001、S002、S003、S005、S006、S007、S008、S009、S010、S013、S014、S015 / S004、S011、S012,9,38,0.605546108,6,3,3,8,4,5,4,5
2,"0,1,3,5,6;2,4",S001、S002、S003、S005、S006、S007、S008、S009、S012、S013、S014、S015 / S004、S010、S011,10,39,0.622068971,6,3,3,8,5,5,4,5
2,"0,1,4,5,6;2,3",S001、S002、S003、S005、S006、S007、S008、S010、S012、S013、S014、S015 / S004、S009、S011,10,39,0.621931243,6,3,3,8,5,5,4,5
2,"0,2,3,4,5;1,6",S001、S002、S004、S005、S008、S009、S010、S011、S012、S014 / S003、S006、S007、S013、S015,7,36,0.408814149,5,3,3,7,4,5,4,5
2,"0,2,3,4,6;1,5",S001、S002、S004、S005、S008、S009、S010、S011、S013、S014 / S003、S006、S007、S012、S015,7,36,0.390271483,5,3,3,7,4,5,4,5
2,"0,2,3,5,6;1,4",S001、S002、S004、S005、S008、S009、S011、S012、S013、S014 / S003、S006、S007、S010、S015,8,37,0.406794347,5,3,3,7,5,5,4,5
2,"0,2,4,5,6;1,3",S001、S002、S004、S005、S008、S010、S011、S012、S013、S014 / S003、S006、S007、S009、S015,9,39,0.406656619,5,3,3,7,6,5,4,6
2,"0,3,4,5,6;1,2",S001、S002、S005、S008、S009、S010、S012、S013、S014 / S003、S004、S006、S007、S011、S015,7,36,0.168776585,5,3,2,8,5,4,4,5
2,"0,1,2,3,4,5;6",S001、S002、S003、S004、S005、S006、S007、S008、S009、S010、S011、S012、S014、S015 / S013,2,30,0.932063169,4,3,2,6,4,4,3,4
2,"0,1,2,3,4,6;5",S001、S002、S003、S004、S005、S006、S007、S008、S009、S010、S011、S013、S014、S015 / S012,2,30,0.913520503,4,3,2,6,4,4,3,4
2,"0,1,2,3,5,6;4",S001、S002、S003、S004、S005、S006、S007、S008、S009、S011、S012、S013、S014、S015 / S010,3,31,0.930043367,4,3,2,6,5,4,3,4
2,"0,1,2,4,5,6;3",S001、S002、S003、S004、S005、S006、S007、S008、S010、S011、S012、S013、S014、S015 / S009,4,33,0.929905639,4,3,2,6,5,4,4,5
2,"0,1,3,4,5,6;2",S001、S002、S003、S005、S006、S007、S008、S009、S010、S012、S013、S014、S015 / S004、S011,7,35,0.692025605,6,2,3,8,4,5,3,4
2,"0,2,3,4,5,6;1",S001、S002、S004、S005、S008、S009、S010、S011、S012、S013、S014 / S003、S006、S007、S015,7,35,0.47675098,5,3,3,7,5,5,3,4
