条目,输入,第二实现值,被核验实现值,绝对差,相对差,容差,判定,来源
式(2-3) 航段总能耗（真实航段）,"A 机型 S003->S014, q=25 kg",2.8781936630740654,2.8781936630740654,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"A 机型 S003->S014, q=25 kg",1213.5778872927112,1213.5778872927112,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"A 机型 S003->S012, q=0 kg",2.1948990115368576,2.1948990115368576,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"A 机型 S003->S012, q=0 kg",1196.025412877727,1196.025412877727,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"A 机型 S003->S012, q=12.5 kg",2.3688642216157927,2.3688642216157927,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"A 机型 S003->S012, q=12.5 kg",1196.025412877727,1196.025412877727,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"A 机型 S003->S012, q=25 kg",2.750892955352392,2.750892955352392,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"A 机型 S003->S012, q=25 kg",1196.025412877727,1196.025412877727,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"A 机型 S012->S003, q=0 kg",2.2104504351479672,2.2104504351479672,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"A 机型 S012->S003, q=0 kg",1192.1120795443926,1192.1120795443926,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"A 机型 S012->S003, q=12.5 kg",2.3871926851574576,2.3871926851574576,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"A 机型 S012->S003, q=12.5 kg",1192.1120795443926,1192.1120795443926,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"A 机型 S012->S003, q=25 kg",2.7719984588246125,2.7719984588246125,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"A 机型 S012->S003, q=25 kg",1192.1120795443926,1192.1120795443926,0.0,0.0,1e-09,一致,问题二_调度核心.segment
附录2 下降能耗效率取 0,"A 机型, 下降=100 m",0.0,0.0,0.0,0.0,1e-15,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"B 机型 S014->S003, q=0 kg",1.8288549457921162,1.8288549457921162,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S014->S003, q=0 kg",1007.9826443068299,1007.9826443068299,0.0,0.0,1e-09,一致,问题二_调度核心.segment
