条目,输入,第二实现值,被核验实现值,绝对差,相对差,容差,判定,来源
式(2-3) 水平能耗 E_hor,"A 机型, q=0 kg(0%Q), d=30000 m",5.4,5.4,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=0 kg(0%Q), d=30000 m",2500.0,2500.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=6.25 kg(25%Q), d=1000 m",24375.0,24375.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=6.25 kg(25%Q), d=1000 m",0.18461538461538463,0.18461538461538463,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=6.25 kg(25%Q), d=1000 m",83.33333333333333,83.33333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=6.25 kg(25%Q), d=5000 m",24375.0,24375.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=6.25 kg(25%Q), d=5000 m",0.9230769230769231,0.9230769230769231,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=6.25 kg(25%Q), d=5000 m",416.6666666666667,416.6666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=6.25 kg(25%Q), d=15000 m",24375.0,24375.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=6.25 kg(25%Q), d=15000 m",2.769230769230769,2.769230769230769,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=6.25 kg(25%Q), d=15000 m",1250.0,1250.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=6.25 kg(25%Q), d=30000 m",24375.0,24375.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=6.25 kg(25%Q), d=30000 m",5.538461538461538,5.538461538461538,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=6.25 kg(25%Q), d=30000 m",2500.0,2500.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=12.5 kg(50%Q), d=1000 m",23232.23304703363,23232.23304703363,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=12.5 kg(50%Q), d=1000 m",0.1936964040817667,0.1936964040817667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=12.5 kg(50%Q), d=1000 m",83.33333333333333,83.33333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=12.5 kg(50%Q), d=5000 m",23232.23304703363,23232.23304703363,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=12.5 kg(50%Q), d=5000 m",0.9684820204088335,0.9684820204088335,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=12.5 kg(50%Q), d=5000 m",416.6666666666667,416.6666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=12.5 kg(50%Q), d=15000 m",23232.23304703363,23232.23304703363,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=12.5 kg(50%Q), d=15000 m",2.9054460612265003,2.9054460612265003,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=12.5 kg(50%Q), d=15000 m",1250.0,1250.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=12.5 kg(50%Q), d=30000 m",23232.23304703363,23232.23304703363,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=12.5 kg(50%Q), d=30000 m",5.810892122453001,5.810892122453001,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=12.5 kg(50%Q), d=30000 m",2500.0,2500.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=25 kg(100%Q), d=1000 m",20000.0,20000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=25 kg(100%Q), d=1000 m",0.225,0.225,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=25 kg(100%Q), d=1000 m",83.33333333333333,83.33333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=25 kg(100%Q), d=5000 m",20000.0,20000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=25 kg(100%Q), d=5000 m",1.125,1.125,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=25 kg(100%Q), d=5000 m",416.6666666666667,416.6666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=25 kg(100%Q), d=15000 m",20000.0,20000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=25 kg(100%Q), d=15000 m",3.375,3.375,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=25 kg(100%Q), d=15000 m",1250.0,1250.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=25 kg(100%Q), d=30000 m",20000.0,20000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=25 kg(100%Q), d=30000 m",6.75,6.75,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=25 kg(100%Q), d=30000 m",2500.0,2500.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=0 kg(0%Q), d=1000 m",28000.0,28000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=0 kg(0%Q), d=1000 m",0.14285714285714285,0.14285714285714285,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=0 kg(0%Q), d=1000 m",66.66666666666667,66.66666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=0 kg(0%Q), d=5000 m",28000.0,28000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=0 kg(0%Q), d=5000 m",0.7142857142857143,0.7142857142857143,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=0 kg(0%Q), d=5000 m",333.3333333333333,333.3333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=0 kg(0%Q), d=15000 m",28000.0,28000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=0 kg(0%Q), d=15000 m",2.142857142857143,2.142857142857143,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=0 kg(0%Q), d=15000 m",1000.0,1000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=0 kg(0%Q), d=30000 m",28000.0,28000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=0 kg(0%Q), d=30000 m",4.285714285714286,4.285714285714286,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=0 kg(0%Q), d=30000 m",2000.0,2000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=7.5 kg(25%Q), d=1000 m",26500.0,26500.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=7.5 kg(25%Q), d=1000 m",0.1509433962264151,0.1509433962264151,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=7.5 kg(25%Q), d=1000 m",66.66666666666667,66.66666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=7.5 kg(25%Q), d=5000 m",26500.0,26499.999999999996,3.637978807091713e-12,1.3728221913553635e-16,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=7.5 kg(25%Q), d=5000 m",0.7547169811320755,0.7547169811320755,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=7.5 kg(25%Q), d=5000 m",333.3333333333333,333.3333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=7.5 kg(25%Q), d=15000 m",26500.0,26500.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=7.5 kg(25%Q), d=15000 m",2.2641509433962264,2.2641509433962264,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=7.5 kg(25%Q), d=15000 m",1000.0,1000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=7.5 kg(25%Q), d=30000 m",26500.0,26500.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=7.5 kg(25%Q), d=30000 m",4.528301886792453,4.528301886792453,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=7.5 kg(25%Q), d=30000 m",2000.0,2000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=15 kg(50%Q), d=1000 m",23757.359312880715,23757.359312880715,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=15 kg(50%Q), d=1000 m",0.16836888087268556,0.16836888087268556,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=15 kg(50%Q), d=1000 m",66.66666666666667,66.66666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=15 kg(50%Q), d=5000 m",23757.359312880715,23757.359312880715,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=15 kg(50%Q), d=5000 m",0.8418444043634278,0.8418444043634278,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=15 kg(50%Q), d=5000 m",333.3333333333333,333.3333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=15 kg(50%Q), d=15000 m",23757.359312880715,23757.359312880715,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=15 kg(50%Q), d=15000 m",2.5255332130902834,2.5255332130902834,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=15 kg(50%Q), d=15000 m",1000.0,1000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=15 kg(50%Q), d=30000 m",23757.359312880715,23757.359312880715,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=15 kg(50%Q), d=30000 m",5.051066426180567,5.051066426180567,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=15 kg(50%Q), d=30000 m",2000.0,2000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=30 kg(100%Q), d=1000 m",16000.0,16000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=30 kg(100%Q), d=1000 m",0.25,0.25,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=30 kg(100%Q), d=1000 m",66.66666666666667,66.66666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=30 kg(100%Q), d=5000 m",16000.0,16000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=30 kg(100%Q), d=5000 m",1.25,1.25,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=30 kg(100%Q), d=5000 m",333.3333333333333,333.3333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=30 kg(100%Q), d=15000 m",16000.0,16000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=30 kg(100%Q), d=15000 m",3.75,3.75,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=30 kg(100%Q), d=15000 m",1000.0,1000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"B 机型, q=30 kg(100%Q), d=30000 m",16000.0,16000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"B 机型, q=30 kg(100%Q), d=30000 m",7.5,7.5,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"B 机型, q=30 kg(100%Q), d=30000 m",2000.0,2000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=0 kg(0%Q), d=1000 m",26000.0,26000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=0 kg(0%Q), d=1000 m",0.3076923076923077,0.3076923076923077,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=0 kg(0%Q), d=1000 m",66.66666666666667,66.66666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=0 kg(0%Q), d=5000 m",26000.0,26000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=0 kg(0%Q), d=5000 m",1.5384615384615385,1.5384615384615385,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=0 kg(0%Q), d=5000 m",333.3333333333333,333.3333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=0 kg(0%Q), d=15000 m",26000.0,26000.000000000004,3.637978807091713e-12,1.399222618112197e-16,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=0 kg(0%Q), d=15000 m",4.615384615384615,4.615384615384615,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=0 kg(0%Q), d=15000 m",1000.0,1000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=0 kg(0%Q), d=30000 m",26000.0,26000.000000000004,3.637978807091713e-12,1.399222618112197e-16,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=0 kg(0%Q), d=30000 m",9.23076923076923,9.23076923076923,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=0 kg(0%Q), d=30000 m",2000.0,2000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=20 kg(25%Q), d=1000 m",24250.0,24250.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=20 kg(25%Q), d=1000 m",0.32989690721649484,0.32989690721649484,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=20 kg(25%Q), d=1000 m",66.66666666666667,66.66666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=20 kg(25%Q), d=5000 m",24250.0,24250.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=20 kg(25%Q), d=5000 m",1.6494845360824741,1.6494845360824741,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=20 kg(25%Q), d=5000 m",333.3333333333333,333.3333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=20 kg(25%Q), d=15000 m",24250.0,24250.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=20 kg(25%Q), d=15000 m",4.948453608247423,4.948453608247423,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=20 kg(25%Q), d=15000 m",1000.0,1000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=20 kg(25%Q), d=30000 m",24250.0,24250.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=20 kg(25%Q), d=30000 m",9.896907216494846,9.896907216494846,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=20 kg(25%Q), d=30000 m",2000.0,2000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=40 kg(50%Q), d=1000 m",21050.25253169417,21050.25253169417,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=40 kg(50%Q), d=1000 m",0.38004294665609617,0.38004294665609617,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=40 kg(50%Q), d=1000 m",66.66666666666667,66.66666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=40 kg(50%Q), d=5000 m",21050.25253169417,21050.25253169417,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=40 kg(50%Q), d=5000 m",1.9002147332804808,1.9002147332804808,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=40 kg(50%Q), d=5000 m",333.3333333333333,333.3333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=40 kg(50%Q), d=15000 m",21050.25253169417,21050.25253169417,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=40 kg(50%Q), d=15000 m",5.7006441998414425,5.7006441998414425,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=40 kg(50%Q), d=15000 m",1000.0,1000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=40 kg(50%Q), d=30000 m",21050.25253169417,21050.25253169417,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=40 kg(50%Q), d=30000 m",11.401288399682885,11.401288399682885,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=40 kg(50%Q), d=30000 m",2000.0,2000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=80 kg(100%Q), d=1000 m",12000.0,12000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=80 kg(100%Q), d=1000 m",0.6666666666666666,0.6666666666666666,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=80 kg(100%Q), d=1000 m",66.66666666666667,66.66666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=80 kg(100%Q), d=5000 m",12000.0,12000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=80 kg(100%Q), d=5000 m",3.3333333333333335,3.3333333333333335,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=80 kg(100%Q), d=5000 m",333.3333333333333,333.3333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=80 kg(100%Q), d=15000 m",12000.0,12000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=80 kg(100%Q), d=15000 m",10.0,10.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=80 kg(100%Q), d=15000 m",1000.0,1000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"C 机型, q=80 kg(100%Q), d=30000 m",12000.0,12000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"C 机型, q=80 kg(100%Q), d=30000 m",20.0,20.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"C 机型, q=80 kg(100%Q), d=30000 m",2000.0,2000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-3) 爬升附加能耗 E_up,"A 机型, q=0 kg, 爬升=10 m",0.0026493055555555554,0.0026493055555555554,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-2) 爬升时间,"A 机型, q=0 kg, 爬升=10 m",3.3333333333333335,3.3333333333333335,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-3) 爬升附加能耗 E_up,"A 机型, q=0 kg, 爬升=80 m",0.021194444444444443,0.021194444444444443,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-2) 爬升时间,"A 机型, q=0 kg, 爬升=80 m",26.666666666666668,26.666666666666668,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-3) 爬升附加能耗 E_up,"A 机型, q=0 kg, 爬升=500 m",0.13246527777777778,0.13246527777777778,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-2) 爬升时间,"A 机型, q=0 kg, 爬升=500 m",166.66666666666666,166.66666666666666,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-2) 下降时间,"A 机型, q=0 kg, 下降=10 m",4.0,4.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=爬升=0）
式(2-2) 下降时间,"A 机型, q=0 kg, 下降=300 m",120.0,120.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=爬升=0）
式(2-3) 爬升附加能耗 E_up,"A 机型, q=12.5 kg, 爬升=10 m",0.0031223958333333334,0.0031223958333333334,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-2) 爬升时间,"A 机型, q=12.5 kg, 爬升=10 m",3.3333333333333335,3.3333333333333335,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-3) 爬升附加能耗 E_up,"A 机型, q=12.5 kg, 爬升=80 m",0.024979166666666667,0.024979166666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-2) 爬升时间,"A 机型, q=12.5 kg, 爬升=80 m",26.666666666666668,26.666666666666668,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-3) 爬升附加能耗 E_up,"A 机型, q=12.5 kg, 爬升=500 m",0.15611979166666667,0.15611979166666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-2) 爬升时间,"A 机型, q=12.5 kg, 爬升=500 m",166.66666666666666,166.66666666666666,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
式(2-2) 下降时间,"A 机型, q=12.5 kg, 下降=10 m",4.0,4.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=爬升=0）
式(2-2) 下降时间,"A 机型, q=12.5 kg, 下降=300 m",120.0,120.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=爬升=0）
式(2-3) 爬升附加能耗 E_up,"A 机型, q=25 kg, 爬升=10 m",0.003595486111111111,0.003595486111111111,0.0,0.0,1e-09,一致,问题二_调度核心.segment（距离=0 隔离）
