方案,权重_时间,权重_能耗,权重_架次,完成时间_s,总能耗_kWh,架次数,A_B_C,加权代价,来源
完成时间优先(主方案),10.0,5.0,5.0,5903.038,65.891,24,11/7/6,59479.84,par4.json.time
均衡,1.0,300.0,300.0,8237.565,59.4658,18,2/8/8,31477.31,par4.json.energy
能耗优先,0.2,1000.0,100.0,8237.565,59.4658,18,2/8/8,62913.32,par4.json.energy
架次优先,0.2,100.0,3000.0,8237.565,59.4658,18,2/8/8,61594.09,par4.json.energy
时间-架次折中,5.0,100.0,1500.0,5969.038,67.9836,23,10/7/6,71143.55,par4.json.time
低能耗-少架次,0.1,800.0,1500.0,8237.565,59.4658,18,2/8/8,75396.41,par4.json.energy
