返航余量_百分比,服务区,机型,最大安全载荷_kg,状态,全任务架次数,全任务能耗_kWh,全任务累计时间_s,最低实际返航SOC
20.0,S007,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S007,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S007,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S008,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S008,B,28.832847836507657,energy_limited,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S008,C,58.953065150451174,energy_limited,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S009,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S009,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S009,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S010,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S010,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S010,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S011,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S011,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S011,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S012,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S012,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S012,C,68.1398494025465,energy_limited,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S013,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S013,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S013,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S014,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S014,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S014,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S015,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S015,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S015,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
25.0,S001,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S001,B,30.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S001,C,80.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S002,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S002,B,30.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S002,C,62.02177828619369,energy_limited,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S003,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S003,B,29.042259565971655,energy_limited,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S003,C,61.15481355491909,energy_limited,19,61.072912349314905,34572.73416236401,0.2707988279526595
