中继架次,点位,中继机,能源组件,经度,纬度,悬停海拔_m,出发_s,建链完成_s,服务结束_s,返航_s,能耗_kWh,SOC,能源充满_s
RS01,西,R01,R-B1,109.20361111111112,23.046388888888888,839.706543,0.0,723.950501,4694.625078,5267.909458,1.500389,0.531128,6377.442446
RS02,东,R02,R-B2,109.27277777777778,23.017777777777777,641.573364,0.0,633.055814,6257.155878,6723.034473,1.961555,0.387014,8019.916089
RS03,北,R01,R-B3,109.24166666666667,23.066666666666666,485.113266,5567.909458,6302.948111,7255.608205,7810.431297,0.6104,0.80925,8558.406482
RS04,西,R02,R-B4,109.20361111111112,23.046388888888888,839.706543,7023.034473,7746.984974,8340.795198,8914.079577,0.468569,0.853572,9604.435827
