返航余量_百分比,服务区,机型,最大安全载荷_kg,状态
25.0,S003,C,61.14451337052409,energy_limited
25.0,S004,A,25.0,structural_payload_limit
25.0,S004,B,27.41211402476292,energy_limited
25.0,S004,C,55.66118702995044,energy_limited
25.0,S005,A,25.0,structural_payload_limit
25.0,S005,B,30.0,structural_payload_limit
25.0,S005,C,80.0,structural_payload_limit
25.0,S006,A,25.0,structural_payload_limit
25.0,S006,B,30.0,structural_payload_limit
25.0,S006,C,80.0,structural_payload_limit
25.0,S007,A,25.0,structural_payload_limit
25.0,S007,B,30.0,structural_payload_limit
25.0,S007,C,80.0,structural_payload_limit
25.0,S008,A,24.562764613727392,energy_limited
25.0,S008,B,25.48050282968687,energy_limited
25.0,S008,C,49.70458580169912,energy_limited
25.0,S009,A,25.0,structural_payload_limit
25.0,S009,B,30.0,structural_payload_limit
25.0,S009,C,80.0,structural_payload_limit
25.0,S010,A,25.0,structural_payload_limit
25.0,S010,B,30.0,structural_payload_limit
25.0,S010,C,80.0,structural_payload_limit
25.0,S011,A,25.0,structural_payload_limit
25.0,S011,B,30.0,structural_payload_limit
25.0,S011,C,80.0,structural_payload_limit
25.0,S012,A,25.0,structural_payload_limit
25.0,S012,B,29.432468389015607,energy_limited
25.0,S012,C,61.08549136863981,energy_limited
25.0,S013,A,25.0,structural_payload_limit
25.0,S013,B,30.0,structural_payload_limit
25.0,S013,C,80.0,structural_payload_limit
25.0,S014,A,25.0,structural_payload_limit
25.0,S014,B,30.0,structural_payload_limit
25.0,S014,C,80.0,structural_payload_limit
25.0,S015,A,25.0,structural_payload_limit
25.0,S015,B,30.0,structural_payload_limit
25.0,S015,C,78.45461159961387,energy_limited
30.0,S001,A,25.0,structural_payload_limit
30.0,S001,B,30.0,structural_payload_limit
30.0,S001,C,80.0,structural_payload_limit
30.0,S002,A,25.0,structural_payload_limit
30.0,S002,B,26.745928036378526,energy_limited
30.0,S002,C,52.95160843349837,energy_limited
30.0,S003,A,24.737296676996095,energy_limited
30.0,S003,B,25.426551507604334,energy_limited
30.0,S003,C,51.79576182028956,energy_limited
30.0,S004,A,20.169042307823563,energy_limited
30.0,S004,B,23.441810881117807,energy_limited
30.0,S004,C,44.74712546908896,energy_limited
30.0,S005,A,25.0,structural_payload_limit
30.0,S005,B,30.0,structural_payload_limit
30.0,S005,C,80.0,structural_payload_limit
30.0,S006,A,25.0,structural_payload_limit
30.0,S006,B,30.0,structural_payload_limit
30.0,S006,C,80.0,structural_payload_limit
30.0,S007,A,25.0,structural_payload_limit
30.0,S007,B,30.0,structural_payload_limit
30.0,S007,C,80.0,structural_payload_limit
30.0,S008,A,14.213146173904349,energy_limited
30.0,S008,B,21.000826890378193,energy_limited
30.0,S008,C,36.81374103841838,energy_limited
30.0,S009,A,25.0,structural_payload_limit
30.0,S009,B,30.0,structural_payload_limit
30.0,S009,C,79.15353430970526,energy_limited
30.0,S010,A,25.0,structural_payload_limit
30.0,S010,B,30.0,structural_payload_limit
30.0,S010,C,80.0,structural_payload_limit
30.0,S011,A,25.0,structural_payload_limit
30.0,S011,B,30.0,structural_payload_limit
30.0,S011,C,80.0,structural_payload_limit
30.0,S012,A,25.0,structural_payload_limit
30.0,S012,B,25.984083795554078,energy_limited
30.0,S012,C,51.75593626403216,energy_limited
30.0,S013,A,25.0,structural_payload_limit
30.0,S013,B,30.0,structural_payload_limit
30.0,S013,C,80.0,structural_payload_limit
30.0,S014,A,25.0,structural_payload_limit
30.0,S014,B,30.0,structural_payload_limit
30.0,S014,C,79.90369787318028,energy_limited
30.0,S015,A,25.0,structural_payload_limit
30.0,S015,B,30.0,structural_payload_limit
30.0,S015,C,73.00767743248922,energy_limited
35.0,S001,A,25.0,structural_payload_limit
35.0,S001,B,30.0,structural_payload_limit
35.0,S001,C,80.0,structural_payload_limit
35.0,S002,A,17.28702476231707,energy_limited
35.0,S002,B,22.2913129763483,energy_limited
35.0,S002,C,40.15340848770622,energy_limited
35.0,S003,A,13.57894548282499,energy_limited
35.0,S003,B,20.43970627641541,energy_limited
35.0,S003,C,38.63544913212473,energy_limited
35.0,S004,A,5.068367872796545,energy_limited
35.0,S004,B,17.826130743102766,energy_limited
35.0,S004,C,28.4926788584622,energy_limited
35.0,S005,A,25.0,structural_payload_limit
35.0,S005,B,30.0,structural_payload_limit
35.0,S005,C,78.77152305219312,energy_limited
35.0,S006,A,25.0,structural_payload_limit
35.0,S006,B,30.0,structural_payload_limit
35.0,S006,C,80.0,structural_payload_limit
35.0,S007,A,25.0,structural_payload_limit
35.0,S007,B,30.0,structural_payload_limit
35.0,S007,C,80.0,structural_payload_limit
35.0,S008,A,,infeasible_even_empty
35.0,S008,B,14.444891035787679,energy_limited
35.0,S008,C,15.682762264649632,energy_limited
35.0,S009,A,25.0,structural_payload_limit
35.0,S009,B,30.0,structural_payload_limit
35.0,S009,C,73.49184404327526,energy_limited
35.0,S010,A,25.0,structural_payload_limit
35.0,S010,B,30.0,structural_payload_limit
35.0,S010,C,80.0,structural_payload_limit
35.0,S011,A,25.0,structural_payload_limit
35.0,S011,B,30.0,structural_payload_limit
35.0,S011,C,80.0,structural_payload_limit
35.0,S012,A,15.052832980679932,energy_limited
35.0,S012,B,21.251248500578495,energy_limited
35.0,S012,C,38.545691791833754,energy_limited
35.0,S013,A,25.0,structural_payload_limit
35.0,S013,B,30.0,structural_payload_limit
35.0,S013,C,80.0,structural_payload_limit
35.0,S014,A,25.0,structural_payload_limit
35.0,S014,B,30.0,structural_payload_limit
35.0,S014,C,74.24171374702048,energy_limited
35.0,S015,A,25.0,structural_payload_limit
35.0,S015,B,30.0,structural_payload_limit
35.0,S015,C,65.93952540961077,energy_limited
