服务区,机型,最大安全载荷_kg,状态,空载能耗_kwh,满载能耗_kwh,outbound_horizontal_kwh,outbound_climb_kwh,return_horizontal_kwh,return_climb_kwh,total_kwh,return_soc
S001,A,25.0,structural_payload_limit,1.161274104696873,1.3123594725540864,0.6871452133132123,0.05189403573936887,0.5497161706505699,0.023604052850935194,1.3123594725540864,0.7083645616546475
S001,B,30.0,structural_payload_limit,0.9299898448207521,1.273589441393862,0.7634946814591248,0.05189403573936887,0.43628267511949986,0.021918049075868397,1.273589441393862,0.6816026396515344
S001,C,80.0,structural_payload_limit,1.9411249416111453,3.081125237662259,2.035985817224333,0.08188332586664625,0.9396857617958458,0.02357033277543386,3.081125237662259,0.6148593452922176
S002,A,25.0,structural_payload_limit,2.7397053954035644,3.0902671806487207,1.6675444738610714,0.06480098379717933,1.334035579088857,0.023886143901613022,3.0902671806487207,0.31327395985583983
S002,B,30.0,structural_payload_limit,2.184034298199967,2.9985665638441983,1.852827193178968,0.06480098379717933,1.0587583961022673,0.02217999076578352,2.9985665638441983,0.25035835903895043
S002,C,68.86566068786415,energy_limited,4.632337301195625,7.347376366555762,4.001091055339289,0.09465422452462285,2.2804026992971913,0.023852020838896437,6.4,0.19999999999999996
S003,A,25.0,structural_payload_limit,2.7886369794984813,3.1564570301338377,1.634214978938725,0.15571280842092303,1.30737198315098,0.05915725962320963,3.1564570301338377,0.29856510441470274
S003,B,30.0,structural_payload_limit,2.2366657077316585,3.064035782567233,1.815794421043028,0.15571280842092303,1.0375968120245873,0.05493174107869466,3.064035782567233,0.23399105435819179
S003,C,68.21487589419148,energy_limited,4.643292400250617,7.381713529055526,3.879721714134,0.22638163379149262,2.234823902822188,0.05907274925231934,6.4,0.19999999999999996
S004,A,25.0,structural_payload_limit,2.89455811420076,3.267220224135455,1.7358062734375783,0.09690324993928273,1.3886450187500627,0.04586568200853136,3.267220224135455,0.2739510613032322
S004,B,30.0,structural_payload_limit,2.313090227968149,3.1702656701874212,1.928673637152865,0.09690324993928273,1.1020992212302085,0.04258956186506483,3.1702656701874212,0.2074335824531447
S004,C,63.69131128611205,energy_limited,4.864604888483829,7.715585155545584,3.84417996393529,0.13626770765552254,2.3737521688035264,0.04580015960566203,6.4,0.19999999999999996
S005,A,25.0,structural_payload_limit,1.9871357263566791,2.2434676143747523,1.188136423650823,0.07107749249405332,0.9505091389206585,0.033744559309217666,2.2434676143747523,0.501451641250055
S005,B,30.0,structural_payload_limit,1.5887108671462622,2.1769356404492877,1.3201515818342477,0.07107749249405332,0.754372332476713,0.03133423364427355,2.1769356404492877,0.4557660898876781
S005,C,80.0,structural_payload_limit,3.3355983173347523,5.291055319207801,3.5204042182246607,0.11215280131430098,1.6248019468729202,0.03369635279591878,5.291055319207801,0.3386180850990249
S006,A,25.0,structural_payload_limit,1.2260750496652615,1.3919141171290066,0.7168968103561276,0.08534688049157461,0.5735174482849021,0.016152977996402317,1.3919141171290066,0.6906857517491096
S006,B,30.0,structural_payload_limit,0.9837395838821344,1.352070663856076,0.7965520115068085,0.08534688049157461,0.4551725780038906,0.014999193853802151,1.352070663856076,0.661982334035981
S006,C,80.0,structural_payload_limit,2.0396706515308716,3.2553086996685057,2.1241386973514893,0.13466839353354773,0.9803717064699182,0.016129902313550316,3.2553086996685057,0.5930864125414368
S007,A,25.0,structural_payload_limit,1.778382074939867,2.0186949292333103,1.0202535414205203,0.13779615483548907,0.8162028331364163,0.04444239984088474,2.0186949292333103,0.5514011268370422
S007,B,30.0,structural_payload_limit,1.431109574931161,1.9604591698664255,1.1336150460228005,0.13779615483548907,0.6477800262987431,0.04126794270939297,1.9604591698664255,0.5098852075333936
S007,C,80.0,structural_payload_limit,2.9362049073041843,4.679998712412963,3.022973456060801,0.21742782747199804,1.3952185181819083,0.044378910698254906,4.679998712412963,0.41500016094837966
S008,A,25.0,structural_payload_limit,2.998210651093071,3.3848712385876443,1.8177819594327018,0.08779594331052569,1.4542255675461615,0.025067768298255074,3.3848712385876443,0.24780639142496796
S008,B,28.832847836507657,energy_limited,2.391642673661268,3.284978165263623,1.935858211914966,0.08671729883493905,1.1541472758302869,0.023277213419808283,3.2,0.19999999999999996
S008,C,58.953065150451174,energy_limited,5.061342630158905,8.03544100562687,3.770030514903009,0.11908185687722617,2.4858556710190793,0.02503195720068614,6.4,0.19999999999999996
S009,A,25.0,structural_payload_limit,2.1169835890390334,2.3892800670276175,1.2836574438970447,0.05914695899486542,1.0269259551176357,0.019549709018071494,2.3892800670276175,0.46904887399386275
S009,B,30.0,structural_payload_limit,1.6886634717743434,2.3186069083001364,1.426286048774494,0.05914695899486542,0.8150205992997108,0.018153301231066385,2.3186069083001364,0.4203482729249659
S009,C,80.0,structural_payload_limit,3.573899456905324,5.671707902666266,3.8034294633986505,0.09332767529821398,1.7554289831070695,0.019521780862331393,5.671707902666266,0.2910365121667168
S010,A,25.0,structural_payload_limit,1.8259967892092426,2.0703383589683844,1.0765112406894126,0.1103494221607844,0.86120899255153,0.022268703566657177,2.0703383589683844,0.5399248091181368
S010,B,30.0,structural_payload_limit,1.4631787189740426,2.0106503052478453,1.196123600766014,0.1103494221607844,0.6834992004377223,0.02067808188332452,2.0106503052478453,0.4973374236880387
S010,C,80.0,structural_payload_limit,3.0477350824254503,4.858171722969807,3.1896629353760377,0.1741197724410693,1.4721521240197097,0.02223689113299052,4.858171722969807,0.3927285346287741
S011,A,25.0,structural_payload_limit,1.0781871588408964,1.2203172898619559,0.6318166817637791,0.05991381973955367,0.5054533454110234,0.023133442947599624,1.2203172898619559,0.7288183800306764
S011,B,30.0,structural_payload_limit,0.8647816177810325,1.1845668579371773,0.702018535293088,0.05991381973955367,0.40115344873890746,0.021481054165628222,1.1845668579371773,0.7038582855157056
S011,C,80.0,structural_payload_limit,1.795229978401369,2.853710336119759,1.8720494274482347,0.09453770083114837,0.864022812668416,0.0231003951719602,2.853710336119759,0.6432862079850301
S012,A,25.0,structural_payload_limit,2.77040638362264,3.1299044109727663,1.6628602558322374,0.10231870949798161,1.33028820466579,0.034437240976757474,3.1299044109727663,0.30446568645049643
S012,B,30.0,structural_payload_limit,2.2135535549619996,3.0377029434453853,1.8476225064802638,0.10231870949798161,1.0557842894172935,0.03197743804984623,3.0377029434453853,0.24057426413865368
S012,C,68.1398494025465,energy_limited,4.657666936433051,7.39682647978223,3.942940716132683,0.14867430789646616,2.2739969310526322,0.03438804491821925,6.4,0.19999999999999996
S013,A,25.0,structural_payload_limit,1.8299564689947465,2.0737624025688364,1.0910794295498871,0.09724218112362756,0.8728635436399098,0.012577248255411785,2.0737624025688364,0.5391639105402586
S013,B,30.0,structural_payload_limit,1.4637106856240347,2.0139803759399637,1.2123104772776523,0.09724218112362756,0.6927488441586584,0.011678873380025228,2.0139803759399637,0.4965049060150091
S013,C,80.0,structural_payload_limit,3.068257921171753,4.8908995795314905,3.232827939407073,0.15343792579401866,1.4920744335724951,0.012559280757904055,4.8908995795314905,0.3886375525585637
S014,A,25.0,structural_payload_limit,2.1376170138236876,2.4253282186284615,1.219410271501189,0.1665507719172372,0.9755282172009512,0.06383895800908407,2.4253282186284615,0.4610381736381197
S014,B,30.0,structural_payload_limit,1.7216923113693579,2.3549588498325105,1.354900301667988,0.1665507719172372,0.7742287438102787,0.059279032437006635,2.3549588498325105,0.4112602875418724
S014,C,80.0,structural_payload_limit,3.5214332684141416,5.607184419090383,3.613067471114634,0.26279958642519846,1.667569602052908,0.06374775949764251,5.607184419090383,0.2991019476137021
S015,A,25.0,structural_payload_limit,2.3087300341660653,2.621075001061135,1.3521109674706357,0.15930653892358146,1.0816887739765084,0.027968720690409347,2.621075001061135,0.4175388886530811
S015,B,30.0,structural_payload_limit,1.851936473668479,2.5461061672118173,1.5023455194118174,0.15930653892358146,0.85848315394961,0.025970954926808672,2.5461061672118173,0.3634734581970457
S015,C,80.0,structural_payload_limit,3.8432261183563385,6.134593072394784,4.006254718431513,0.25136894931205117,1.849040639276083,0.027928765375137332,6.134593072394784,0.23317586595065198
