mplot3d_elev（度）,真实仰角θ（度）,方位角（度）,可见地面点数,满足余量(≥2m)的地面点数,最小视线余量（m）,被遮挡节点
30.0,10.89,-144.0,10,10,-42.17,S004-S007-S011-S012-S013-S014
30.0,10.89,-141.0,10,10,-32.8,S004-S007-S011-S012-S013-S014
30.0,10.89,-138.0,10,10,-33.71,S004-S007-S011-S012-S013-S014
30.0,10.89,-135.0,9,9,-29.12,S004-S007-S008-S011-S012-S013-S014
30.0,10.89,-132.0,11,10,-29.83,S004-S007-S011-S012-S013
30.0,10.89,-129.0,11,11,-46.34,S004-S007-S011-S012-S013
30.0,10.89,-126.0,11,11,-60.97,S004-S007-S011-S012-S013
30.0,10.89,-123.0,12,12,-82.74,S004-S007-S012-S013
30.0,10.89,-120.0,11,11,-88.49,S002-S004-S007-S012-S013
30.0,10.89,-117.0,10,10,-68.36,S002-S004-S007-S011-S012-S013
30.0,10.89,-114.0,10,10,-25.98,S002-S004-S007-S011-S012-S013
30.0,10.89,-111.0,10,10,-23.81,S002-S004-S007-S011-S012-S013
30.0,10.89,-108.0,11,10,-28.48,S002-S004-S007-S012-S013
30.0,10.89,-105.0,11,11,-32.32,S002-S004-S007-S012-S013
30.0,10.89,-102.0,12,11,-31.27,S002-S004-S007-S013
30.0,10.89,-99.0,11,11,-29.02,O01-S002-S004-S007-S013
30.0,10.89,-96.0,13,11,-30.28,O01-S004-S007
30.0,10.89,-93.0,13,10,-31.09,O01-S004-S007
30.0,10.89,-90.0,12,10,-29.5,O01-S004-S007-S008
30.0,10.89,-87.0,12,9,-46.19,O01-S004-S007-S008
30.0,10.89,-84.0,10,9,-61.91,O01-S002-S004-S007-S008-S010
30.0,10.89,-81.0,10,10,-67.41,O01-S002-S004-S007-S008-S010
30.0,10.89,-78.0,10,10,-69.09,O01-S002-S004-S007-S008-S010
30.0,10.89,-75.0,10,10,-65.67,O01-S002-S004-S007-S008-S010
30.0,10.89,-72.0,10,10,-85.82,O01-S002-S004-S007-S008-S010
30.0,10.89,-69.0,10,9,-113.07,O01-S002-S004-S007-S008-S010
30.0,10.89,-66.0,10,9,-127.45,O01-S002-S004-S007-S008-S010
30.0,10.89,-63.0,11,9,-126.46,O01-S002-S004-S007-S008
30.0,10.89,-60.0,10,9,-131.13,O01-S002-S004-S007-S008-S013
30.0,10.89,-57.0,10,9,-101.58,O01-S002-S004-S007-S008-S013
30.0,10.89,-54.0,9,8,-78.68,O01-S002-S004-S007-S008-S009-S013
30.0,10.89,-51.0,9,8,-53.15,O01-S002-S004-S007-S008-S009-S013
30.0,10.89,-48.0,9,8,-27.24,O01-S002-S004-S007-S008-S009-S013
30.0,10.89,-45.0,10,8,-22.89,O01-S002-S004-S007-S008-S009
30.0,10.89,-42.0,9,9,-21.96,O01-S002-S004-S006-S007-S008-S009
30.0,10.89,-39.0,8,8,-22.19,O01-S002-S004-S006-S007-S008-S009-S014
30.0,10.89,-36.0,9,9,-24.66,O01-S002-S004-S006-S007-S009-S014
30.0,10.89,-33.0,9,9,-45.67,O01-S002-S004-S006-S007-S009-S014
30.0,10.89,-30.0,9,9,-61.8,O01-S002-S004-S006-S007-S009-S014
30.0,10.89,-27.0,9,8,-75.84,O01-S002-S004-S006-S007-S009-S014
30.0,10.89,-24.0,9,8,-59.64,O01-S002-S006-S007-S009-S010-S014
30.0,10.89,-21.0,9,9,-41.99,O01-S002-S006-S007-S009-S010-S014
30.0,10.89,-18.0,9,8,-34.55,O01-S002-S006-S007-S009-S010-S014
30.0,10.89,-15.0,9,8,-42.75,O01-S002-S006-S007-S009-S010-S014
30.0,10.89,-12.0,9,8,-31.22,O01-S002-S006-S007-S009-S010-S014
30.0,10.89,-9.0,11,8,-39.24,S006-S007-S009-S010-S014
30.0,10.89,-6.0,11,11,-28.31,S006-S007-S009-S010-S014
30.0,10.89,-3.0,12,12,-11.83,S006-S007-S009-S010
30.0,10.89,0.0,11,11,-20.38,S005-S006-S007-S009-S010
30.0,10.89,3.0,12,11,-7.12,S005-S006-S007-S009
30.0,10.89,6.0,11,10,-19.55,S005-S006-S007-S009-S010
30.0,10.89,9.0,12,9,-26.48,S005-S006-S007-S009
30.0,10.89,12.0,11,9,-30.2,S005-S006-S007-S009-S011
30.0,10.89,15.0,10,7,-24.33,S005-S006-S007-S009-S010-S011
30.0,10.89,18.0,9,7,-30.0,S005-S006-S007-S009-S010-S011-S012
30.0,10.89,21.0,9,8,-27.32,S005-S006-S007-S009-S010-S011-S012
30.0,10.89,24.0,11,8,-29.07,S005-S006-S009-S011-S012
30.0,10.89,27.0,9,7,-35.67,S003-S005-S006-S009-S011-S012-S015
30.0,10.89,30.0,10,8,-36.95,S003-S005-S006-S009-S011-S015
30.0,10.89,33.0,10,9,-33.2,S003-S005-S006-S009-S011-S015
30.0,10.89,36.0,10,9,-37.44,S003-S005-S006-S009-S011-S015
30.0,10.89,39.0,11,10,-51.15,S003-S005-S006-S011-S015
30.0,10.89,42.0,11,11,-61.41,S003-S005-S006-S011-S015
30.0,10.89,45.0,11,9,-65.29,S003-S005-S006-S011-S015
30.0,10.89,48.0,10,9,-62.26,S002-S003-S006-S007-S011-S015
30.0,10.89,51.0,10,10,-50.39,S003-S006-S007-S011-S014-S015
30.0,10.89,54.0,10,9,-66.1,S003-S006-S007-S011-S014-S015
30.0,10.89,57.0,10,8,-82.59,S003-S005-S007-S011-S012-S015
30.0,10.89,60.0,11,8,-97.61,S003-S005-S007-S011-S015
30.0,10.89,63.0,11,6,-114.45,S003-S005-S007-S011-S015
30.0,10.89,66.0,10,6,-112.3,S003-S004-S005-S007-S011-S015
30.0,10.89,69.0,11,6,-123.3,S003-S004-S007-S011-S015
30.0,10.89,72.0,8,7,-124.26,S003-S004-S006-S007-S009-S010-S011-S015
30.0,10.89,75.0,6,5,-129.01,S002-S003-S004-S006-S007-S009-S010-S011-S012-S015
30.0,10.89,78.0,7,6,-131.78,S002-S003-S004-S006-S007-S009-S010-S011-S015
30.0,10.89,81.0,7,6,-127.64,S002-S003-S004-S006-S007-S009-S010-S011-S015
30.0,10.89,84.0,7,7,-120.29,S002-S003-S004-S006-S007-S009-S010-S011-S015
30.0,10.89,87.0,7,6,-117.09,S002-S003-S004-S006-S007-S009-S010-S011-S015
30.0,10.89,90.0,7,7,-111.86,S002-S003-S004-S007-S009-S010-S011-S014-S015
30.0,10.89,93.0,7,6,-105.04,S002-S003-S004-S007-S009-S010-S011-S014-S015
30.0,10.89,96.0,7,7,-98.48,S002-S003-S004-S007-S009-S010-S011-S014-S015
30.0,10.89,99.0,6,6,-93.48,S002-S003-S004-S006-S007-S009-S010-S011-S014-S015
30.0,10.89,102.0,8,6,-90.29,S003-S004-S007-S009-S010-S011-S014-S015
30.0,10.89,105.0,8,8,-78.16,S003-S004-S007-S009-S010-S011-S014-S015
30.0,10.89,108.0,7,7,-69.49,S003-S004-S005-S007-S009-S010-S011-S014-S015
30.0,10.89,111.0,8,8,-61.27,S003-S004-S005-S009-S010-S011-S014-S015
30.0,10.89,114.0,8,7,-51.44,S003-S004-S005-S009-S010-S011-S014-S015
30.0,10.89,117.0,7,6,-46.31,S003-S004-S005-S007-S009-S010-S011-S014-S015
30.0,10.89,120.0,9,7,-42.26,S003-S004-S006-S009-S010-S014-S015
30.0,10.89,123.0,9,8,-39.17,S003-S004-S006-S009-S010-S014-S015
30.0,10.89,126.0,9,8,-37.36,S003-S006-S009-S010-S012-S014-S015
30.0,10.89,129.0,9,8,-52.09,S003-S006-S009-S010-S012-S014-S015
30.0,10.89,132.0,9,8,-69.13,S003-S006-S009-S010-S012-S014-S015
30.0,10.89,135.0,9,8,-88.55,S003-S006-S009-S010-S012-S014-S015
30.0,10.89,138.0,9,8,-84.09,S003-S006-S009-S010-S012-S014-S015
30.0,10.89,141.0,9,7,-84.01,S003-S006-S010-S011-S012-S014-S015
30.0,10.89,144.0,9,6,-92.53,S003-S006-S010-S011-S012-S014-S015
30.0,10.89,147.0,9,6,-98.29,S002-S003-S006-S010-S011-S012-S014
30.0,10.89,150.0,9,6,-100.91,S002-S003-S006-S010-S011-S012-S014
30.0,10.89,153.0,7,5,-104.8,S001-S002-S003-S005-S006-S010-S011-S012-S014
30.0,10.89,156.0,6,4,-109.22,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
30.0,10.89,159.0,6,5,-100.13,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
30.0,10.89,162.0,6,5,-85.28,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
30.0,10.89,165.0,6,5,-70.97,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
30.0,10.89,168.0,6,6,-60.89,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
30.0,10.89,171.0,8,7,-53.88,S001-S002-S003-S005-S006-S011-S012-S014
30.0,10.89,174.0,8,6,-64.86,S001-S002-S003-S005-S006-S011-S012-S014
30.0,10.89,177.0,9,7,-86.86,S001-S003-S005-S006-S011-S012-S014
31.0,11.33,-180.0,10,7,-94.61,S001-S003-S006-S011-S012-S014
31.0,11.33,-177.0,10,8,-90.23,S001-S003-S006-S011-S012-S014
31.0,11.33,-174.0,10,7,-79.26,S001-S003-S006-S011-S012-S014
31.0,11.33,-171.0,8,6,-71.74,O01-S001-S003-S004-S006-S011-S012-S014
31.0,11.33,-168.0,7,6,-70.21,O01-S001-S003-S004-S006-S011-S012-S013-S014
31.0,11.33,-165.0,6,6,-64.99,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
31.0,11.33,-162.0,7,6,-60.57,O01-S003-S004-S006-S007-S011-S012-S013-S014
31.0,11.33,-159.0,7,7,-53.89,O01-S003-S004-S006-S007-S011-S012-S013-S014
31.0,11.33,-156.0,10,8,-44.41,S004-S007-S011-S012-S013-S014
31.0,11.33,-153.0,10,9,-34.39,S004-S007-S011-S012-S013-S014
31.0,11.33,-150.0,10,10,-37.23,S004-S007-S011-S012-S013-S014
31.0,11.33,-147.0,10,10,-37.86,S004-S007-S011-S012-S013-S014
31.0,11.33,-144.0,10,10,-37.68,S004-S007-S011-S012-S013-S014
31.0,11.33,-141.0,10,10,-30.28,S004-S007-S011-S012-S013-S014
31.0,11.33,-138.0,10,10,-31.19,S004-S007-S011-S012-S013-S014
31.0,11.33,-135.0,11,11,-26.5,S004-S007-S011-S012-S013
31.0,11.33,-132.0,11,11,-23.28,S004-S007-S011-S012-S013
31.0,11.33,-129.0,11,11,-36.95,S004-S007-S011-S012-S013
31.0,11.33,-126.0,11,11,-51.72,S004-S007-S011-S012-S013
31.0,11.33,-123.0,12,12,-73.61,S004-S007-S012-S013
31.0,11.33,-120.0,12,11,-79.45,S004-S007-S012-S013
31.0,11.33,-117.0,12,10,-59.87,S002-S004-S007-S013
31.0,11.33,-114.0,11,10,-23.2,S002-S004-S007-S011-S013
31.0,11.33,-111.0,12,10,-20.97,S004-S007-S011-S013
31.0,11.33,-108.0,12,11,-25.58,S002-S004-S007-S013
31.0,11.33,-105.0,12,11,-29.41,S002-S004-S007-S013
31.0,11.33,-102.0,13,12,-28.8,S004-S007-S013
31.0,11.33,-99.0,14,11,-26.44,S004-S007
31.0,11.33,-96.0,13,12,-27.75,O01-S004-S007
31.0,11.33,-93.0,13,12,-28.59,O01-S004-S007
31.0,11.33,-90.0,12,11,-27.64,O01-S004-S007-S008
31.0,11.33,-87.0,12,10,-41.67,O01-S004-S007-S008
31.0,11.33,-84.0,11,10,-57.35,O01-S002-S004-S007-S008
31.0,11.33,-81.0,10,10,-62.34,O01-S002-S004-S007-S008-S010
31.0,11.33,-78.0,10,10,-64.09,O01-S002-S004-S007-S008-S010
31.0,11.33,-75.0,10,10,-60.5,O01-S002-S004-S007-S008-S010
31.0,11.33,-72.0,10,10,-79.85,O01-S002-S004-S007-S008-S010
31.0,11.33,-69.0,10,10,-107.46,O01-S002-S004-S007-S008-S010
31.0,11.33,-66.0,10,10,-120.93,O01-S002-S004-S007-S008-S010
31.0,11.33,-63.0,11,10,-120.7,O01-S002-S004-S007-S008
31.0,11.33,-60.0,11,9,-125.42,O01-S002-S004-S007-S008
31.0,11.33,-57.0,10,9,-95.11,O01-S002-S004-S007-S008-S013
31.0,11.33,-54.0,9,8,-71.72,O01-S002-S004-S007-S008-S009-S013
31.0,11.33,-51.0,10,8,-46.3,O01-S002-S004-S007-S008-S009
31.0,11.33,-48.0,10,8,-20.73,O01-S002-S004-S007-S008-S009
31.0,11.33,-45.0,10,9,-21.48,O01-S002-S004-S007-S008-S009
31.0,11.33,-42.0,10,9,-20.55,O01-S002-S004-S007-S008-S009
31.0,11.33,-39.0,9,8,-20.67,O01-S002-S004-S006-S007-S009-S014
31.0,11.33,-36.0,9,9,-21.98,O01-S002-S004-S006-S007-S009-S014
31.0,11.33,-33.0,9,9,-39.49,O01-S002-S004-S006-S007-S009-S014
31.0,11.33,-30.0,9,9,-55.96,O01-S002-S004-S006-S007-S009-S014
31.0,11.33,-27.0,9,9,-70.35,O01-S002-S004-S006-S007-S009-S014
31.0,11.33,-24.0,10,8,-53.66,O01-S002-S006-S007-S009-S014
31.0,11.33,-21.0,10,9,-35.81,O01-S002-S006-S007-S009-S014
31.0,11.33,-18.0,9,9,-27.87,O01-S002-S006-S007-S009-S010-S014
31.0,11.33,-15.0,9,9,-36.19,O01-S002-S006-S007-S009-S010-S014
31.0,11.33,-12.0,11,9,-24.16,S006-S007-S009-S010-S014
31.0,11.33,-9.0,11,11,-29.85,S006-S007-S009-S010-S014
31.0,11.33,-6.0,11,11,-18.45,S006-S007-S009-S010-S014
31.0,11.33,-3.0,12,12,-10.22,S006-S007-S009-S010
31.0,11.33,0.0,12,11,-6.35,S006-S007-S009-S010
31.0,11.33,3.0,12,11,-4.33,S005-S006-S007-S009
31.0,11.33,6.0,12,11,-15.35,S005-S006-S007-S009
31.0,11.33,9.0,12,11,-22.17,S005-S006-S007-S009
31.0,11.33,12.0,11,10,-25.86,S005-S006-S007-S009-S011
31.0,11.33,15.0,11,10,-22.02,S005-S006-S007-S009-S011
31.0,11.33,18.0,9,8,-27.66,S005-S006-S007-S009-S010-S011-S012
31.0,11.33,21.0,10,8,-24.99,S005-S006-S009-S010-S011-S012
31.0,11.33,24.0,11,9,-25.82,S005-S006-S009-S011-S012
31.0,11.33,27.0,11,8,-32.52,S005-S006-S009-S011-S012
31.0,11.33,30.0,11,9,-34.03,S003-S005-S006-S009-S011
31.0,11.33,33.0,10,10,-30.29,S003-S005-S006-S009-S011-S015
31.0,11.33,36.0,10,10,-32.57,S003-S005-S006-S009-S011-S015
31.0,11.33,39.0,11,10,-46.09,S003-S005-S006-S011-S015
31.0,11.33,42.0,11,11,-56.05,S003-S005-S006-S011-S015
31.0,11.33,45.0,11,11,-59.78,S003-S005-S006-S011-S015
31.0,11.33,48.0,11,10,-57.04,S003-S006-S007-S011-S015
31.0,11.33,51.0,10,10,-44.93,S003-S006-S007-S011-S014-S015
31.0,11.33,54.0,10,10,-61.15,S003-S006-S007-S011-S014-S015
31.0,11.33,57.0,12,10,-77.89,S003-S007-S011-S015
31.0,11.33,60.0,11,9,-93.18,S003-S005-S007-S011-S015
31.0,11.33,63.0,11,9,-110.02,S003-S005-S007-S011-S015
31.0,11.33,66.0,11,6,-108.11,S003-S005-S007-S011-S015
31.0,11.33,69.0,11,8,-118.58,S003-S004-S007-S011-S015
31.0,11.33,72.0,9,8,-120.33,S003-S004-S007-S009-S010-S011-S015
31.0,11.33,75.0,7,6,-124.69,S002-S003-S004-S006-S007-S009-S010-S011-S015
31.0,11.33,78.0,7,6,-127.56,S002-S003-S004-S006-S007-S009-S010-S011-S015
31.0,11.33,81.0,7,7,-124.54,S002-S003-S004-S006-S007-S009-S010-S011-S015
31.0,11.33,84.0,7,7,-117.29,S002-S003-S004-S006-S007-S009-S010-S011-S015
31.0,11.33,87.0,7,7,-113.27,S002-S003-S004-S006-S007-S009-S010-S011-S015
31.0,11.33,90.0,8,7,-108.23,S002-S003-S004-S007-S009-S010-S011-S015
31.0,11.33,93.0,7,7,-101.67,S002-S003-S004-S007-S009-S010-S011-S014-S015
31.0,11.33,96.0,7,7,-95.32,S002-S003-S004-S007-S009-S010-S011-S014-S015
31.0,11.33,99.0,7,7,-90.41,S002-S003-S004-S007-S009-S010-S011-S014-S015
31.0,11.33,102.0,8,8,-86.43,S003-S004-S007-S009-S010-S011-S014-S015
31.0,11.33,105.0,8,8,-74.49,S003-S004-S007-S009-S010-S011-S014-S015
31.0,11.33,108.0,8,7,-65.98,S003-S004-S005-S009-S010-S011-S014-S015
31.0,11.33,111.0,8,8,-57.91,S003-S004-S005-S009-S010-S011-S014-S015
31.0,11.33,114.0,8,7,-49.54,S003-S004-S005-S009-S010-S011-S014-S015
31.0,11.33,117.0,8,7,-44.43,S003-S004-S005-S009-S010-S011-S014-S015
31.0,11.33,120.0,9,8,-40.39,S003-S004-S006-S009-S010-S014-S015
31.0,11.33,123.0,9,8,-37.33,S003-S004-S006-S009-S010-S014-S015
31.0,11.33,126.0,9,8,-35.52,S003-S006-S009-S010-S012-S014-S015
31.0,11.33,129.0,9,8,-45.86,S003-S006-S009-S010-S012-S014-S015
31.0,11.33,132.0,9,8,-63.48,S003-S006-S009-S010-S012-S014-S015
31.0,11.33,135.0,9,8,-82.88,S003-S006-S009-S010-S012-S014-S015
31.0,11.33,138.0,10,8,-78.81,S003-S006-S010-S012-S014-S015
31.0,11.33,141.0,10,7,-78.7,S003-S006-S010-S012-S014-S015
31.0,11.33,144.0,10,6,-87.17,S003-S006-S010-S011-S012-S014
31.0,11.33,147.0,9,6,-92.76,S002-S003-S006-S010-S011-S012-S014
31.0,11.33,150.0,9,6,-95.37,S002-S003-S006-S010-S011-S012-S014
31.0,11.33,153.0,7,5,-99.5,S001-S002-S003-S005-S006-S010-S011-S012-S014
31.0,11.33,156.0,6,5,-103.9,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
31.0,11.33,159.0,6,5,-94.67,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
31.0,11.33,162.0,6,5,-80.02,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
31.0,11.33,165.0,6,6,-65.37,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
31.0,11.33,168.0,7,6,-55.63,S001-S002-S003-S005-S006-S008-S011-S012-S014
31.0,11.33,171.0,8,7,-48.48,S001-S002-S003-S005-S006-S011-S012-S014
31.0,11.33,174.0,8,8,-59.38,S001-S002-S003-S005-S006-S011-S012-S014
31.0,11.33,177.0,9,7,-81.12,S001-S003-S005-S006-S011-S012-S014
32.0,11.77,-180.0,10,9,-88.84,S001-S003-S006-S011-S012-S014
32.0,11.77,-177.0,10,8,-84.64,S001-S003-S006-S011-S012-S014
32.0,11.77,-174.0,10,8,-73.9,S001-S003-S006-S011-S012-S014
32.0,11.77,-171.0,9,6,-65.93,O01-S001-S003-S006-S011-S012-S014
32.0,11.77,-168.0,9,6,-64.67,O01-S003-S004-S006-S011-S012-S014
32.0,11.77,-165.0,8,6,-59.54,O01-S003-S004-S006-S011-S012-S013-S014
32.0,11.77,-162.0,7,7,-55.62,O01-S003-S004-S006-S007-S011-S012-S013-S014
32.0,11.77,-159.0,10,8,-49.16,S004-S007-S011-S012-S013-S014
32.0,11.77,-156.0,10,9,-39.77,S004-S007-S011-S012-S013-S014
32.0,11.77,-153.0,10,10,-29.99,S004-S007-S011-S012-S013-S014
32.0,11.77,-150.0,10,10,-33.02,S004-S007-S011-S012-S013-S014
32.0,11.77,-147.0,10,10,-33.58,S004-S007-S011-S012-S013-S014
32.0,11.77,-144.0,10,10,-33.1,S004-S007-S011-S012-S013-S014
32.0,11.77,-141.0,10,10,-27.71,S004-S007-S011-S012-S013-S014
32.0,11.77,-138.0,10,10,-28.63,S004-S007-S011-S012-S013-S014
32.0,11.77,-135.0,11,11,-23.82,S004-S007-S011-S012-S013
32.0,11.77,-132.0,11,11,-20.61,S004-S007-S011-S012-S013
32.0,11.77,-129.0,11,11,-28.26,S004-S007-S011-S012-S013
32.0,11.77,-126.0,11,11,-42.26,S004-S007-S011-S012-S013
32.0,11.77,-123.0,12,12,-64.29,S004-S007-S012-S013
32.0,11.77,-120.0,13,12,-70.25,S004-S007-S013
32.0,11.77,-117.0,13,11,-51.23,S004-S007-S013
32.0,11.77,-114.0,13,10,-20.37,S004-S007-S013
32.0,11.77,-111.0,13,12,-18.08,S004-S007-S013
32.0,11.77,-108.0,13,12,-22.63,S004-S007-S013
32.0,11.77,-105.0,13,12,-26.43,S004-S007-S013
32.0,11.77,-102.0,13,13,-26.3,S004-S007-S013
32.0,11.77,-99.0,14,13,-23.81,S004-S007
32.0,11.77,-96.0,14,12,-25.17,S004-S007
32.0,11.77,-93.0,13,12,-26.06,O01-S004-S007
32.0,11.77,-90.0,13,11,-25.75,O01-S004-S007
32.0,11.77,-87.0,12,11,-37.09,O01-S004-S007-S008
32.0,11.77,-84.0,12,11,-52.73,O01-S004-S007-S008
32.0,11.77,-81.0,12,10,-56.75,O01-S002-S004-S007
32.0,11.77,-78.0,10,10,-59.0,O01-S002-S004-S007-S008-S010
32.0,11.77,-75.0,10,10,-55.24,O01-S002-S004-S007-S008-S010
32.0,11.77,-72.0,10,10,-73.78,O01-S002-S004-S007-S008-S010
32.0,11.77,-69.0,10,10,-101.75,O01-S002-S004-S007-S008-S010
32.0,11.77,-66.0,11,11,-114.23,O01-S002-S004-S007-S008
32.0,11.77,-63.0,11,11,-113.93,O01-S002-S004-S007-S008
32.0,11.77,-60.0,11,9,-119.66,O01-S002-S004-S007-S008
32.0,11.77,-57.0,11,9,-88.55,O01-S002-S004-S007-S008
32.0,11.77,-54.0,11,8,-64.64,O01-S002-S004-S007-S008
32.0,11.77,-51.0,10,9,-39.31,O01-S002-S004-S007-S008-S009
32.0,11.77,-48.0,10,9,-18.51,O01-S002-S004-S007-S008-S009
32.0,11.77,-45.0,10,9,-20.03,O01-S002-S004-S007-S008-S009
32.0,11.77,-42.0,10,9,-19.1,O01-S002-S004-S007-S008-S009
32.0,11.77,-39.0,10,9,-19.14,O01-S002-S004-S007-S009-S014
32.0,11.77,-36.0,9,9,-20.3,O01-S002-S004-S006-S007-S009-S014
32.0,11.77,-33.0,9,9,-33.19,O01-S002-S004-S006-S007-S009-S014
32.0,11.77,-30.0,9,9,-50.0,O01-S002-S004-S006-S007-S009-S014
32.0,11.77,-27.0,9,9,-64.76,O01-S002-S004-S006-S007-S009-S014
32.0,11.77,-24.0,10,9,-47.56,O01-S002-S006-S007-S009-S014
32.0,11.77,-21.0,10,10,-30.3,O01-S002-S006-S007-S009-S014
32.0,11.77,-18.0,10,9,-25.93,O01-S002-S006-S007-S009-S014
32.0,11.77,-15.0,10,9,-29.16,O01-S006-S007-S009-S010-S014
32.0,11.77,-12.0,11,11,-18.95,S006-S007-S009-S010-S014
32.0,11.77,-9.0,11,11,-20.29,S006-S007-S009-S010-S014
32.0,11.77,-6.0,11,11,-12.41,S006-S007-S009-S010-S014
32.0,11.77,-3.0,12,12,-8.58,S006-S007-S009-S010
32.0,11.77,0.0,13,13,-4.71,S006-S007-S009
32.0,11.77,3.0,13,12,-3.0,S006-S007-S009
32.0,11.77,6.0,12,11,-11.07,S005-S006-S007-S009
32.0,11.77,9.0,13,11,-17.79,S005-S006-S007
32.0,11.77,12.0,12,10,-21.44,S005-S006-S007-S009
32.0,11.77,15.0,11,10,-19.68,S005-S006-S007-S009-S011
32.0,11.77,18.0,11,8,-25.28,S005-S006-S009-S010-S011
32.0,11.77,21.0,12,9,-22.67,S005-S006-S009-S011
32.0,11.77,24.0,12,10,-22.81,S005-S006-S009-S011
32.0,11.77,27.0,12,10,-29.32,S005-S006-S009-S011
32.0,11.77,30.0,11,10,-31.05,S003-S005-S006-S009-S011
32.0,11.77,33.0,10,10,-27.38,S003-S005-S006-S009-S011-S015
32.0,11.77,36.0,10,10,-27.61,S003-S005-S006-S009-S011-S015
32.0,11.77,39.0,11,11,-40.95,S003-S005-S006-S011-S015
32.0,11.77,42.0,11,11,-50.58,S003-S005-S006-S011-S015
32.0,11.77,45.0,11,11,-54.17,S003-S005-S006-S011-S015
32.0,11.77,48.0,12,11,-51.39,S003-S006-S011-S015
32.0,11.77,51.0,10,10,-39.34,S003-S006-S007-S011-S014-S015
32.0,11.77,54.0,11,11,-56.45,S003-S006-S007-S011-S015
32.0,11.77,57.0,12,11,-73.1,S003-S007-S011-S015
32.0,11.77,60.0,11,10,-88.68,S003-S005-S007-S011-S015
32.0,11.77,63.0,11,9,-105.24,S003-S005-S007-S011-S015
32.0,11.77,66.0,11,9,-103.88,S003-S005-S007-S011-S015
32.0,11.77,69.0,12,8,-113.77,S003-S007-S011-S015
32.0,11.77,72.0,10,8,-116.34,S003-S007-S009-S010-S011-S015
32.0,11.77,75.0,8,7,-120.29,S003-S004-S006-S007-S009-S010-S011-S015
32.0,11.77,78.0,7,7,-123.26,S002-S003-S004-S006-S007-S009-S010-S011-S015
32.0,11.77,81.0,7,7,-121.42,S002-S003-S004-S006-S007-S009-S010-S011-S015
32.0,11.77,84.0,7,7,-114.28,S002-S003-S004-S006-S007-S009-S010-S011-S015
32.0,11.77,87.0,7,7,-109.37,S002-S003-S004-S006-S007-S009-S010-S011-S015
32.0,11.77,90.0,8,7,-104.54,S002-S003-S004-S007-S009-S010-S011-S015
32.0,11.77,93.0,8,7,-98.27,S002-S003-S004-S007-S009-S010-S011-S015
32.0,11.77,96.0,7,7,-92.13,S002-S003-S004-S007-S009-S010-S011-S014-S015
32.0,11.77,99.0,7,7,-87.32,S002-S003-S004-S007-S009-S010-S011-S014-S015
32.0,11.77,102.0,8,8,-82.5,S003-S004-S007-S009-S010-S011-S014-S015
32.0,11.77,105.0,8,8,-70.76,S003-S004-S007-S009-S010-S011-S014-S015
32.0,11.77,108.0,9,8,-62.41,S003-S004-S009-S010-S011-S014-S015
32.0,11.77,111.0,8,8,-54.48,S003-S004-S005-S009-S010-S011-S014-S015
32.0,11.77,114.0,8,8,-47.6,S003-S004-S005-S009-S010-S011-S014-S015
32.0,11.77,117.0,10,8,-42.52,S003-S004-S009-S010-S014-S015
32.0,11.77,120.0,10,8,-38.5,S003-S004-S009-S010-S014-S015
32.0,11.77,123.0,9,8,-35.46,S003-S004-S006-S009-S010-S014-S015
32.0,11.77,126.0,10,8,-33.63,S003-S006-S009-S010-S014-S015
32.0,11.77,129.0,9,8,-39.5,S003-S006-S009-S010-S012-S014-S015
32.0,11.77,132.0,9,8,-57.72,S003-S006-S009-S010-S012-S014-S015
32.0,11.77,135.0,9,8,-77.11,S003-S006-S009-S010-S012-S014-S015
32.0,11.77,138.0,10,8,-73.43,S003-S006-S010-S012-S014-S015
32.0,11.77,141.0,10,7,-73.31,S003-S006-S010-S012-S014-S015
32.0,11.77,144.0,10,7,-81.71,S003-S006-S010-S011-S012-S014
32.0,11.77,147.0,9,7,-87.13,S002-S003-S006-S010-S011-S012-S014
32.0,11.77,150.0,9,7,-89.71,S002-S003-S006-S010-S011-S012-S014
32.0,11.77,153.0,9,6,-94.51,S002-S003-S006-S010-S011-S012-S014
32.0,11.77,156.0,7,6,-98.49,S001-S002-S003-S005-S006-S010-S011-S012-S014
32.0,11.77,159.0,6,6,-89.1,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
32.0,11.77,162.0,6,6,-74.67,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
32.0,11.77,165.0,7,6,-59.67,S001-S002-S003-S005-S006-S008-S011-S012-S014
32.0,11.77,168.0,8,7,-50.29,S001-S002-S003-S005-S006-S011-S012-S014
32.0,11.77,171.0,8,7,-42.99,S001-S002-S003-S005-S006-S011-S012-S014
32.0,11.77,174.0,8,8,-53.79,S001-S002-S003-S005-S006-S011-S012-S014
